t_s,target_a,voltage_v,current_a,setpoint_echo_a,temp_c,runtime_s,fan,raw,flags
17.6473,1.15,13.037332534790039,0.0,9.999999974752427e-07,34.683876037597656,0,0,DF 07 03 08 16 01 00 EA 98 50 41 00 00 00 00 00 00 00 00 4A BC 0A 42 BD 37 86 35 E4,LOADOFF
17.6910,1.15,13.037412643432617,0.0,9.999999974752427e-07,34.68040084838867,0,0,DF 07 03 08 16 01 00 3E 99 50 41 00 00 00 00 00 00 00 00 BB B8 0A 42 BD 37 86 35 22,LOADOFF
17.7820,1.15,13.037544250488281,0.0,9.999999974752427e-07,34.68040084838867,0,0,DF 07 03 08 16 01 00 C8 99 50 41 00 00 00 00 00 00 00 00 BB B8 0A 42 BD 37 86 35 98,LOADOFF
17.8268,1.15,13.037544250488281,0.0,9.999999974752427e-07,34.68040084838867,0,0,DF 07 03 08 16 01 00 C8 99 50 41 00 00 00 00 00 00 00 00 BB B8 0A 42 BD 37 86 35 98,LOADOFF
17.9165,1.15,13.037250518798828,0.0,9.999999974752427e-07,34.682029724121094,0,0,DF 07 03 08 16 01 00 94 98 50 41 00 00 00 00 00 00 00 00 66 BA 0A 42 BD 37 86 35 20,LOADOFF
17.9476,1.15,13.037290573120117,0.0,9.999999974752427e-07,34.682029724121094,0,0,DF 07 03 08 16 01 00 BE 98 50 41 00 00 00 00 00 00 00 00 66 BA 0A 42 BD 37 86 35 F6,LOADOFF
17.9921,1.15,13.037332534790039,0.0,9.999999974752427e-07,34.682029724121094,0,0,DF 07 03 08 16 01 00 EA 98 50 41 00 00 00 00 00 00 00 00 66 BA 0A 42 BD 37 86 35 CA,LOADOFF
18.0374,1.15,13.037332534790039,0.0,9.999999974752427e-07,34.682029724121094,0,0,DF 07 03 08 16 01 00 EA 98 50 41 00 00 00 00 00 00 00 00 66 BA 0A 42 BD 37 86 35 CA,LOADOFF
18.0973,1.15,13.037796020507812,0.0,9.999999974752427e-07,34.68225860595703,0,0,DF 07 03 08 16 01 00 D0 9A 50 41 00 00 00 00 00 00 00 00 A2 BA 0A 42 BD 37 86 35 A6,LOADOFF
18.1876,1.15,13.03750228881836,0.0,9.999999974752427e-07,34.68225860595703,0,0,DF 07 03 08 16 01 00 9C 99 50 41 00 00 00 00 00 00 00 00 A2 BA 0A 42 BD 37 86 35 DB,LOADOFF
18.2627,1.15,13.037332534790039,0.0,9.999999974752427e-07,34.68225860595703,0,0,DF 07 03 08 16 01 00 EA 98 50 41 00 00 00 00 00 00 00 00 A2 BA 0A 42 BD 37 86 35 8E,LOADOFF
18.3084,1.15,13.03750228881836,0.0,9.999999974752427e-07,34.681556701660156,0,0,DF 07 03 08 16 01 00 9C 99 50 41 00 00 00 00 00 00 00 00 EA B9 0A 42 BD 37 86 35 94,LOADOFF
18.3978,1.15,13.037958145141602,0.0,9.999999974752427e-07,34.681556701660156,0,0,DF 07 03 08 16 01 00 7A 9B 50 41 00 00 00 00 00 00 00 00 EA B9 0A 42 BD 37 86 35 B4,LOADOFF
18.4424,1.15,13.03762435913086,0.0,9.999999974752427e-07,34.681556701660156,0,0,DF 07 03 08 16 01 00 1C 9A 50 41 00 00 00 00 00 00 00 00 EA B9 0A 42 BD 37 86 35 13,LOADOFF
18.4876,1.15,13.03770637512207,0.0,9.999999974752427e-07,34.682945251464844,0,0,DF 07 03 08 16 01 00 72 9A 50 41 00 00 00 00 00 00 00 00 56 BB 0A 42 BD 37 86 35 4F,LOADOFF
18.5328,1.15,13.03746223449707,0.0,9.999999974752427e-07,34.682945251464844,0,0,DF 07 03 08 16 01 00 72 99 50 41 00 00 00 00 00 00 00 00 56 BB 0A 42 BD 37 86 35 50,LOADOFF
18.6074,1.15,13.03758430480957,0.0,9.999999974752427e-07,34.682945251464844,0,0,DF 07 03 08 16 01 00 F2 99 50 41 00 00 00 00 00 00 00 00 56 BB 0A 42 BD 37 86 35 D0,LOADOFF
18.6826,1.15,13.03758430480957,0.0,9.999999974752427e-07,34.68434143066406,0,0,DF 07 03 08 16 01 00 F2 99 50 41 00 00 00 00 00 00 00 00 C4 BC 0A 42 BD 37 86 35 61,LOADOFF
18.7871,1.15,13.03758430480957,0.0,9.999999974752427e-07,34.68434143066406,0,0,DF 07 03 08 16 01 00 F2 99 50 41 00 00 00 00 00 00 00 00 C4 BC 0A 42 BD 37 86 35 61,LOADOFF
18.8095,1.15,13.03758430480957,0.0,9.999999974752427e-07,34.68434143066406,0,0,DF 07 03 08 16 01 00 F2 99 50 41 00 00 00 00 00 00 00 00 C4 BC 0A 42 BD 37 86 35 61,LOADOFF
19.0117,1.15,13.037796020507812,0.0,1.1500009298324585,34.68596267700195,0,0,DF 07 03 08 16 01 02 D0 9A 50 41 00 00 00 00 00 00 00 00 6D BE 0A 42 3B 33 93 3F 44,
19.0351,1.15,12.945947647094727,0.42675691843032837,1.1500009298324585,34.68596267700195,0,0,DF 07 03 08 16 01 02 9A 22 4F 41 E2 7F DA 3E 00 00 00 00 6D BE 0A 42 3B 33 93 3F 7A,
19.1921,1.15,12.941600799560547,1.1500248908996582,1.1500009298324585,34.687355041503906,0,0,DF 07 03 08 16 01 02 CC 10 4F 41 04 34 93 3F 00 00 00 00 DA BF 0A 42 3B 33 93 3F 5B,
19.2373,1.15,12.940793991088867,1.150130033493042,1.1500009298324585,34.687355041503906,0,0,DF 07 03 08 16 01 02 7E 0D 4F 41 76 37 93 3F 00 00 00 00 DA BF 0A 42 3B 33 93 3F 37,
19.3274,1.15,12.939401626586914,1.1503324508666992,1.1500009298324585,34.6866569519043,0,0,DF 07 03 08 16 01 02 CA 07 4F 41 18 3E 93 3F 00 00 00 00 23 BF 0A 42 3B 33 93 3F FF,
19.4610,1.15,12.938514709472656,1.150388479232788,1.1500009298324585,34.6866569519043,0,0,DF 07 03 08 16 01 02 28 04 4F 41 EE 3F 93 3F 00 00 00 00 23 BF 0A 42 3B 33 93 3F CD,
19.5301,1.15,12.937715530395508,1.1504056453704834,1.1500009298324585,34.68526840209961,0,0,DF 07 03 08 16 01 02 E2 00 4F 41 7E 40 93 3F 00 00 00 00 B7 BD 0A 42 3B 33 93 3F F4,
19.6206,1.15,12.936990737915039,1.1501877307891846,1.1500009298324585,34.68526840209961,0,0,DF 07 03 08 16 01 02 EA FD 4E 41 5A 39 93 3F 00 00 00 00 B7 BD 0A 42 3B 33 93 3F 1B,
19.7328,1.15,12.936779022216797,1.1502926349639893,1.1500009298324585,34.6871223449707,0,0,DF 07 03 08 16 01 02 0C FD 4E 41 CA 3C 93 3F 00 00 00 00 9D BF 0A 42 3B 33 93 3F 9E,
19.8230,1.15,12.93614387512207,1.1503167152404785,1.1500009298324585,34.6871223449707,0,0,DF 07 03 08 16 01 02 72 FA 4E 41 94 3D 93 3F 00 00 00 00 9D BF 0A 42 3B 33 93 3F 70,
19.9351,1.15,12.935850143432617,1.1503324508666992,1.1500009298324585,34.68827438354492,0,0,DF 07 03 08 16 01 02 3E F9 4E 41 18 3E 93 3F 00 00 00 00 CB C0 0A 42 3B 33 93 3F F1,
20.0257,1.15,12.935638427734375,1.1503207683563232,1.1500009298324585,34.68827438354492,1,0,DF 07 03 08 16 01 02 60 F8 4E 41 B6 3D 93 3F 01 00 00 00 CB C0 0A 42 3B 33 93 3F 32,
20.2501,1.15,12.934751510620117,1.150280237197876,1.1500009298324585,34.68920135498047,1,0,DF 07 03 08 16 01 02 BE F4 4E 41 62 3C 93 3F 01 00 00 00 BE C1 0A 42 3B 33 93 3F 39,
20.2941,1.15,12.934499740600586,1.1503689289093018,1.1500009298324585,34.68920135498047,1,0,DF 07 03 08 16 01 02 B6 F3 4E 41 4A 3F 93 3F 01 00 00 00 BE C1 0A 42 3B 33 93 3F 57,
20.3175,1.15,12.934539794921875,1.150231122970581,1.1500009298324585,34.68781661987305,1,0,DF 07 03 08 16 01 02 E0 F3 4E 41 C6 3A 93 3F 01 00 00 00 53 C0 0A 42 3B 33 93 3F 22,
20.4077,1.15,12.93391227722168,1.1502513885498047,1.1500009298324585,34.68781661987305,1,0,DF 07 03 08 16 01 02 4E F1 4E 41 70 3B 93 3F 01 00 00 00 53 C0 0A 42 3B 33 93 3F 0B,
20.5203,1.15,12.933441162109375,1.1502070426940918,1.1500009298324585,34.69036102294922,1,0,DF 07 03 08 16 01 02 60 EF 4E 41 FC 39 93 3F 01 00 00 00 EE C2 0A 42 3B 33 93 3F D4,
20.6095,1.15,12.933107376098633,1.1502397060394287,1.1500009298324585,34.69036102294922,1,0,DF 07 03 08 16 01 02 02 EE 4E 41 0E 3B 93 3F 01 00 00 00 EE C2 0A 42 3B 33 93 3F 1F,
20.7445,1.15,12.93281364440918,1.1502070426940918,1.1500009298324585,34.69267654418945,1,0,DF 07 03 08 16 01 02 CE EC 4E 41 FC 39 93 3F 01 00 00 00 4D C5 0A 42 3B 33 93 3F 07,
20.8124,1.15,12.932975769042969,1.150388479232788,1.1500009298324585,34.69267654418945,1,0,DF 07 03 08 16 01 02 78 ED 4E 41 EE 3F 93 3F 01 00 00 00 4D C5 0A 42 3B 33 93 3F 64,
20.9247,1.15,12.932512283325195,1.1502070426940918,1.1500009298324585,34.697776794433594,1,0,DF 07 03 08 16 01 02 92 EB 4E 41 FC 39 93 3F 01 00 00 00 86 CA 0A 42 3B 33 93 3F 06,
21.0146,1.15,12.932260513305664,1.1502156257629395,1.1500009298324585,34.697776794433594,2,0,DF 07 03 08 16 01 02 8A EA 4E 41 44 3A 93 3F 02 00 00 00 86 CA 0A 42 3B 33 93 3F C5,
21.1051,1.15,12.932210922241211,1.150296688079834,1.1500009298324585,34.70380401611328,2,0,DF 07 03 08 16 01 02 56 EA 4E 41 EC 3C 93 3F 02 00 00 00 B2 D0 0A 42 3B 33 93 3F 1D,
21.2180,1.15,12.931917190551758,1.1501994132995605,1.1500009298324585,34.70380401611328,2,0,DF 07 03 08 16 01 02 22 E9 4E 41 BC 39 93 3F 02 00 00 00 B2 D0 0A 42 3B 33 93 3F 85,
21.3301,1.15,12.931421279907227,1.1502032279968262,1.1500009298324585,34.71052932739258,2,0,DF 07 03 08 16 01 02 1A E7 4E 41 DC 39 93 3F 02 00 00 00 95 D7 0A 42 3B 33 93 3F 85,
21.4202,1.15,12.931241989135742,1.150231122970581,1.1500009298324585,34.71052932739258,2,0,DF 07 03 08 16 01 02 5E E6 4E 41 C6 3A 93 3F 02 00 00 00 95 D7 0A 42 3B 33 93 3F 57,
21.4875,1.15,12.931070327758789,1.1502118110656738,1.1500009298324585,34.71957015991211,2,0,DF 07 03 08 16 01 02 AA E5 4E 41 24 3A 93 3F 02 00 00 00 D7 E0 0A 42 3B 33 93 3F 63,
21.6005,1.15,12.930908203125,1.1502156257629395,1.1500009298324585,34.71957015991211,2,0,DF 07 03 08 16 01 02 00 E5 4E 41 44 3A 93 3F 02 00 00 00 D7 E0 0A 42 3B 33 93 3F ED,
21.6674,1.15,12.930614471435547,1.1502554416656494,1.1500009298324585,34.71957015991211,2,0,DF 07 03 08 16 01 02 CC E3 4E 41 92 3B 93 3F 02 00 00 00 D7 E0 0A 42 3B 33 93 3F D4,
21.7579,1.15,12.930313110351562,1.1503121852874756,1.1500009298324585,34.73070526123047,2,0,DF 07 03 08 16 01 02 90 E2 4E 41 6E 3D 93 3F 02 00 00 00 3E EC 0A 42 3B 33 93 3F C0,
21.8251,1.15,12.930313110351562,1.150280237197876,1.1500009298324585,34.73070526123047,2,0,DF 07 03 08 16 01 02 90 E2 4E 41 62 3C 93 3F 02 00 00 00 3E EC 0A 42 3B 33 93 3F CD,
21.9599,1.15,12.930143356323242,1.1503167152404785,1.1500009298324585,34.73766326904297,2,0,DF 07 03 08 16 01 02 DE E1 4E 41 94 3D 93 3F 02 00 00 00 5E F3 0A 42 3B 33 93 3F 26,
22.0267,1.15,12.930143356323242,1.1503410339355469,1.1500009298324585,34.73766326904297,3,0,DF 07 03 08 16 01 02 DE E1 4E 41 60 3E 93 3F 03 00 00 00 5E F3 0A 42 3B 33 93 3F 58,
22.1407,1.15,12.929849624633789,1.150235891342163,1.1500009298324585,34.74671936035156,3,0,DF 07 03 08 16 01 02 AA E0 4E 41 EE 3A 93 3F 03 00 00 00 A4 FC 0A 42 3B 33 93 3F B4,
22.2299,1.15,12.929386138916016,1.1502840518951416,1.1500009298324585,34.74671936035156,3,0,DF 07 03 08 16 01 02 C4 DE 4E 41 82 3C 93 3F 03 00 00 00 A4 FC 0A 42 3B 33 93 3F 06,
22.3210,1.15,12.929386138916016,1.1502234935760498,1.1500009298324585,34.758331298828125,3,0,DF 07 03 08 16 01 02 C4 DE 4E 41 86 3A 93 3F 03 00 00 00 88 08 0B 42 3B 33 93 3F 13,
22.4328,1.15,12.92905044555664,1.150146484375,1.1500009298324585,34.758331298828125,3,0,DF 07 03 08 16 01 02 64 DD 4E 41 00 38 93 3F 03 00 00 00 88 08 0B 42 3B 33 93 3F FC,
22.5231,1.15,12.928960800170898,1.1501829624176025,1.1500009298324585,34.77180480957031,3,0,DF 07 03 08 16 01 02 06 DD 4E 41 32 39 93 3F 03 00 00 00 54 16 0B 42 3B 33 93 3F 4D,
22.6358,1.15,12.928457260131836,1.150167465209961,1.1500009298324585,34.77180480957031,3,0,DF 07 03 08 16 01 02 F6 DA 4E 41 B0 38 93 3F 03 00 00 00 54 16 0B 42 3B 33 93 3F E3,
22.7927,1.15,12.928537368774414,1.1502070426940918,1.1500009298324585,34.788536071777344,3,0,DF 07 03 08 16 01 02 4A DB 4E 41 FC 39 93 3F 03 00 00 00 76 27 0B 42 3B 33 93 3F 0E,
22.8384,1.15,12.928497314453125,1.1502070426940918,1.1500009298324585,34.788536071777344,3,0,DF 07 03 08 16 01 02 20 DB 4E 41 FC 39 93 3F 03 00 00 00 76 27 0B 42 3B 33 93 3F 38,
22.9274,1.15,12.92811393737793,1.1502678394317627,1.1500009298324585,34.80596923828125,3,0,DF 07 03 08 16 01 02 8E D9 4E 41 FA 3B 93 3F 03 00 00 00 50 39 0B 42 3B 33 93 3F E0,
23.0624,1.15,12.92799186706543,1.1502273082733154,1.1500009298324585,34.82526397705078,4,0,DF 07 03 08 16 01 02 0E D9 4E 41 A6 3A 93 3F 04 00 00 00 12 4D 0B 42 3B 33 93 3F DE,
23.1530,1.15,12.928245544433594,1.1501595973968506,1.1500009298324585,34.82526397705078,4,0,DF 07 03 08 16 01 02 18 DA 4E 41 6E 38 93 3F 04 00 00 00 12 4D 0B 42 3B 33 93 3F 0D,
23.2206,1.15,12.927650451660156,1.1502032279968262,1.1500009298324585,34.82526397705078,4,0,DF 07 03 08 16 01 02 A8 D7 4E 41 DC 39 93 3F 04 00 00 00 12 4D 0B 42 3B 33 93 3F 11,
23.3101,1.15,12.927398681640625,1.1501829624176025,1.1500009298324585,34.8461799621582,4,0,DF 07 03 08 16 01 02 A0 D6 4E 41 32 39 93 3F 04 00 00 00 7D 62 0B 42 3B 33 93 3F 44,
23.4223,1.15,12.927104949951172,1.1501915454864502,1.1500009298324585,34.8461799621582,4,0,DF 07 03 08 16 01 02 6C D5 4E 41 7A 39 93 3F 04 00 00 00 7D 62 0B 42 3B 33 93 3F 31,
23.5574,1.15,12.926803588867188,1.1502764225006104,1.1500009298324585,34.86919403076172,4,0,DF 07 03 08 16 01 02 30 D4 4E 41 42 3C 93 3F 04 00 00 00 0E 7A 0B 42 3B 33 93 3F FA,
23.6246,1.15,12.926933288574219,1.1501953601837158,1.1500009298324585,34.86919403076172,4,0,DF 07 03 08 16 01 02 B8 D4 4E 41 9A 39 93 3F 04 00 00 00 0E 7A 0B 42 3B 33 93 3F 1D,
23.7147,1.15,12.92685317993164,1.1502764225006104,1.1500009298324585,34.89362335205078,4,0,DF 07 03 08 16 01 02 64 D4 4E 41 42 3C 93 3F 04 00 00 00 12 93 0B 42 3B 33 93 3F A9,
23.8272,1.15,12.92689323425293,1.1502513885498047,1.1500009298324585,34.89362335205078,4,0,DF 07 03 08 16 01 02 8E D4 4E 41 70 3B 93 3F 04 00 00 00 12 93 0B 42 3B 33 93 3F 52,
23.9623,1.15,12.926469802856445,1.1502554416656494,1.1500009298324585,34.9199104309082,4,0,DF 07 03 08 16 01 02 D2 D2 4E 41 92 3B 93 3F 04 00 00 00 FD AD 0B 42 3B 33 93 3F E9,
24.0078,1.15,12.92608642578125,1.1502156257629395,1.1500009298324585,34.9199104309082,5,0,DF 07 03 08 16 01 02 40 D1 4E 41 44 3A 93 3F 05 00 00 00 FD AD 0B 42 3B 33 93 3F CA,
24.1204,1.15,12.92620849609375,1.1500864028930664,1.1500009298324585,34.94852828979492,5,0,DF 07 03 08 16 01 02 C0 D1 4E 41 08 36 93 3F 05 00 00 00 4B CB 0B 42 3B 33 93 3F 1E,
24.2551,1.15,12.92591667175293,1.1502156257629395,1.1500009298324585,34.979026794433594,5,0,DF 07 03 08 16 01 02 8E D0 4E 41 44 3A 93 3F 05 00 00 00 86 EA 0B 42 3B 33 93 3F B7,
24.4123,1.15,12.925874710083008,1.1502554416656494,1.1500009298324585,34.979026794433594,5,0,DF 07 03 08 16 01 02 62 D0 4E 41 92 3B 93 3F 05 00 00 00 86 EA 0B 42 3B 33 93 3F 94,
24.5027,1.15,12.925289154052734,1.150130033493042,1.1500009298324585,35.0099983215332,5,0,DF 07 03 08 16 01 02 FC CD 4E 41 76 37 93 3F 05 00 00 00 3D 0A 0C 42 3B 33 93 3F 45,
24.6149,1.15,12.925329208374023,1.1501145362854004,1.1500009298324585,35.0099983215332,5,0,DF 07 03 08 16 01 02 26 CE 4E 41 F4 36 93 3F 05 00 00 00 3D 0A 0C 42 3B 33 93 3F 9D,
24.7268,1.15,12.925207138061523,1.150167465209961,1.1500009298324585,35.04237747192383,5,0,DF 07 03 08 16 01 02 A6 CD 4E 41 B0 38 93 3F 05 00 00 00 65 2B 0C 42 3B 33 93 3F 17,
