t_s,target_a,voltage_v,current_a,temp_c,fan,load_on,raw
45.0599,0.11156772833298116,12.9896,0.0000,39.115203857421875,1,1,DF 07 03 08 16 41 02 74 D5 4F 41 00 80 BD 37 00 00 00 00 F8 75 1C 42 D9 CD 4C 3D 6F
45.0819,0.11156772833298116,12.9897,0.0000,39.115203857421875,1,1,DF 07 03 08 16 41 02 CA D5 4F 41 00 00 44 38 00 00 00 00 F8 75 1C 42 D9 CD 4C 3D 11
45.1953,0.13789900767519914,12.9806,0.0836,39.0865478515625,1,1,DF 07 03 08 16 41 02 90 B0 4F 41 24 30 AB 3D 00 00 00 00 A0 58 1C 42 25 7E E4 3D 90
45.2850,0.16414796900372797,12.9806,0.1114,39.0865478515625,1,1,DF 07 03 08 16 41 02 66 B0 4F 41 90 38 E4 3D 00 00 00 00 A0 58 1C 42 A9 35 0D 3E A8
45.3749,0.19076809867149375,12.9783,0.1377,39.060874938964844,1,1,DF 07 03 08 16 41 02 0E A7 4F 41 2A 00 0D 3E 00 00 00 00 56 3E 1C 42 AB 16 28 3E E3
45.5100,0.2163812153353744,12.9755,0.1641,39.060874938964844,1,1,DF 07 03 08 16 41 02 9E 9B 4F 41 32 09 28 3E 00 00 00 00 56 3E 1C 42 F9 58 43 3E 88
45.6456,0.24312814000295474,12.9742,0.1907,39.03620529174805,1,1,DF 07 03 08 16 41 02 48 96 4F 41 92 4B 43 3E 00 00 00 00 13 25 1C 42 4D 93 5D 3E D9
45.7128,0.26648817667815217,12.9720,0.2162,39.03620529174805,1,1,DF 07 03 08 16 41 02 46 8D 4F 41 A4 5C 5D 3E 00 00 00 00 13 25 1C 42 D8 F6 78 3E 9E
45.7573,0.2913437886706864,12.9701,0.2431,39.013771057128906,1,1,DF 07 03 08 16 41 02 78 85 4F 41 DE E7 78 3E 00 00 00 00 1A 0E 1C 42 45 71 88 3E AC
46.0050,0.343940356009795,12.9682,0.2664,39.013771057128906,1,1,DF 07 03 08 16 41 02 DE 7D 4F 41 AC 69 88 3E 00 00 00 00 1A 0E 1C 42 25 2B 95 3E 47
46.0274,0.343940356009795,12.9643,0.2932,38.98863220214844,1,1,DF 07 03 08 16 41 02 EC 6D 4F 41 D2 1C 96 3E 01 00 00 00 5C F4 1B 42 39 58 A2 3E EC
46.1166,0.3924369286706982,12.9637,0.3172,38.98863220214844,1,1,DF 07 03 08 16 41 02 84 6B 4F 41 B4 64 A2 3E 01 00 00 00 5C F4 1B 42 15 19 B0 3E 75
46.1630,0.3924369286706982,12.9618,0.3370,38.96375274658203,1,1,DF 07 03 08 16 41 02 62 63 4F 41 D8 89 AC 3E 01 00 00 00 E2 DA 1B 42 14 1B BC 3E D3
46.2755,0.4179613283334766,12.9597,0.3672,38.96375274658203,1,1,DF 07 03 08 16 41 02 E0 5A 4F 41 58 01 BC 3E 01 00 00 00 E2 DA 1B 42 14 1B BC 3E 56
