t_s,target_a,voltage_v,current_a,temp_c,fan,load_on,raw
5.1231,0.05,13.0400,0.0000,35.67839813232422,0,0,DF 07 03 08 16 01 00 FC A3 50 41 00 00 00 00 00 00 00 00 AE B6 0E 42 BD 37 86 35 65
5.1526,0.05,13.0401,0.0000,35.67839813232422,0,0,DF 07 03 08 16 01 00 52 A4 50 41 00 00 00 00 00 00 00 00 AE B6 0E 42 BD 37 86 35 0E
5.2732,0.05,13.0402,0.0000,35.672752380371094,0,0,DF 07 03 08 16 01 00 B0 A4 50 41 00 00 00 00 00 00 00 00 E6 B0 0E 42 BD 37 86 35 7E
5.3178,0.05,13.0401,0.0000,35.672752380371094,0,0,DF 07 03 08 16 01 00 52 A4 50 41 00 00 00 00 00 00 00 00 E6 B0 0E 42 BD 37 86 35 DC
5.3779,0.05,13.0404,0.0000,35.672752380371094,0,0,DF 07 03 08 16 01 00 5A A5 50 41 00 00 00 00 00 00 00 00 E6 B0 0E 42 BD 37 86 35 D3
5.4235,0.05,13.0402,0.0000,35.672752380371094,0,0,DF 07 03 08 16 01 00 DA A4 50 41 00 00 00 00 00 00 00 00 E6 B0 0E 42 BD 37 86 35 54
5.4832,0.05,13.0405,0.0000,35.666168212890625,0,0,DF 07 03 08 16 01 00 E4 A5 50 41 00 00 00 00 00 00 00 00 28 AA 0E 42 BD 37 86 35 0D
5.5431,0.05,13.0405,0.0000,35.666168212890625,0,0,DF 07 03 08 16 01 00 0E A6 50 41 00 00 00 00 00 00 00 00 28 AA 0E 42 BD 37 86 35 E2
5.6178,0.05,13.0402,0.0000,35.666168212890625,0,0,DF 07 03 08 16 01 00 DA A4 50 41 00 00 00 00 00 00 00 00 28 AA 0E 42 BD 37 86 35 18
5.6778,0.05,13.0402,0.0000,35.661216735839844,0,0,DF 07 03 08 16 01 00 DA A4 50 41 00 00 00 00 00 00 00 00 16 A5 0E 42 BD 37 86 35 2F
5.7682,0.05,13.0403,0.0000,35.661216735839844,0,0,DF 07 03 08 16 01 00 06 A5 50 41 00 00 00 00 00 00 00 00 16 A5 0E 42 BD 37 86 35 02
5.7979,0.05,13.0406,0.0000,35.661216735839844,0,0,DF 07 03 08 16 01 00 64 A6 50 41 00 00 00 00 00 00 00 00 16 A5 0E 42 BD 37 86 35 A3
5.8730,0.05,13.0403,0.0000,35.65487289428711,0,0,DF 07 03 08 16 01 00 06 A5 50 41 00 00 00 00 00 00 00 00 97 9E 0E 42 BD 37 86 35 88
5.9626,0.05,13.0406,0.0000,35.65487289428711,0,0,DF 07 03 08 16 01 00 38 A6 50 41 00 00 00 00 00 00 00 00 97 9E 0E 42 BD 37 86 35 55
5.9933,0.05,13.0403,0.0000,35.65487289428711,0,0,DF 07 03 08 16 01 00 30 A5 50 41 00 00 00 00 00 00 00 00 97 9E 0E 42 BD 37 86 35 5E
6.0974,0.05,13.0406,0.0000,35.648529052734375,0,0,DF 07 03 08 16 01 00 64 A6 50 41 00 00 00 00 00 00 00 00 18 98 0E 42 BD 37 86 35 AE
6.1410,0.05,13.0406,0.0000,35.648529052734375,0,0,DF 07 03 08 16 01 00 64 A6 50 41 00 00 00 00 00 00 00 00 18 98 0E 42 BD 37 86 35 AE
6.1882,0.05,13.0406,0.0000,35.648529052734375,0,0,DF 07 03 08 16 01 00 64 A6 50 41 00 00 00 00 00 00 00 00 18 98 0E 42 BD 37 86 35 AE
6.2942,0.05,13.0403,0.0000,35.643592834472656,0,0,DF 07 03 08 16 01 00 06 A5 50 41 00 00 00 00 00 00 00 00 0A 93 0E 42 BD 37 86 35 20
6.5315,0.11128598800026036,13.0408,0.0002,35.63794708251953,0,1,DF 07 03 08 16 01 02 EC A6 50 41 00 90 45 39 00 00 00 00 42 8D 0E 42 D9 CD 4C 3D 77
6.5329,0.11128598800026036,13.0384,0.0002,35.63794708251953,0,1,DF 07 03 08 16 01 02 40 9D 50 41 00 90 45 39 00 00 00 00 42 8D 0E 42 D9 CD 4C 3D 2C
