t_s,target_a,voltage_v,current_a,temp_c,fan,load_on,raw
280.4670,0.05,12.9238,0.0001,41.47539138793945,1,1,DF 07 03 08 16 41 02 B6 C7 4E 41 00 F0 12 39 00 00 00 00 CD E6 25 42 D9 CD 4C 3D 26
280.5559,0.11160957201170581,12.9201,0.0496,41.47539138793945,1,1,DF 07 03 08 16 41 02 D6 B8 4E 41 38 59 4B 3D 00 00 00 00 CD E6 25 42 D9 CD 4C 3D 37
280.6240,0.13509619300311898,12.9199,0.0499,41.437618255615234,1,1,DF 07 03 08 16 41 02 F8 B7 4E 41 80 93 4C 3D 00 00 00 00 1F C0 25 42 15 94 E4 3D CC
280.7583,0.1597527250125616,12.9153,0.1115,41.437618255615234,1,1,DF 07 03 08 16 41 02 F6 A4 4E 41 EC 5E E4 3D 00 00 00 00 1F C0 25 42 15 94 E4 3D 12
280.8047,0.1863531046678933,12.9150,0.1116,41.39830017089844,1,1,DF 07 03 08 16 41 02 E4 A3 4E 41 70 82 E4 3D 00 00 00 00 DC 97 25 42 7B 96 23 3E 41
280.9618,0.21275490467727648,12.9108,0.1596,41.39830017089844,1,1,DF 07 03 08 16 41 02 C0 92 4E 41 36 6E 23 3E 00 00 00 00 DC 97 25 42 9C D3 3E 3E 0B
281.0062,0.23931283501326106,12.9096,0.1861,41.35639190673828,1,1,DF 07 03 08 16 41 02 E8 8D 4E 41 92 9B 3E 3E 00 00 00 00 F2 6C 25 42 AF DC 59 3E 22
281.1202,0.26530054334512293,12.9076,0.2126,41.35639190673828,1,1,DF 07 03 08 16 41 02 9A 85 4E 41 50 B4 59 3E 00 00 00 00 F2 6C 25 42 AF DC 59 3E 86
281.2552,0.2916766683429402,12.9075,0.2127,41.31268310546875,1,1,DF 07 03 08 16 41 02 3C 85 4E 41 30 C2 59 3E 00 00 00 00 30 40 25 42 9B D5 87 3E D1
281.3441,0.3180696203462624,12.9034,0.2653,41.31268310546875,1,1,DF 07 03 08 16 41 02 76 74 4E 41 8E D7 87 3E 00 00 00 00 30 40 25 42 9B D5 87 3E 07
281.4340,0.3434867643380615,12.9034,0.2654,41.26874923706055,1,1,DF 07 03 08 16 41 02 76 74 4E 41 AC E2 87 3E 00 00 00 00 33 13 25 42 27 DA A2 3E 5C
281.5241,0.37057723366713613,12.8994,0.3180,41.26874923706055,1,1,DF 07 03 08 16 41 02 04 64 4E 41 7A D6 A2 3E 01 00 00 00 33 13 25 42 27 DA A2 3E 00
281.6154,0.3969520420035891,12.8949,0.3465,41.225364685058594,1,1,DF 07 03 08 16 41 02 82 51 4E 41 E4 6D B1 3E 01 00 00 00 C6 E6 24 42 6F BC BD 3E DB
281.7271,0.4206501460112243,12.8949,0.3704,41.225364685058594,1,1,DF 07 03 08 16 41 02 AC 51 4E 41 DA A5 BD 3E 01 00 00 00 C6 E6 24 42 6F BC BD 3E 77
281.8177,0.4445071980029267,12.8947,0.3704,41.1820182800293,1,1,DF 07 03 08 16 41 02 CE 50 4E 41 5C A6 BD 3E 01 00 00 00 63 BA 24 42 97 5F D7 3E 7D
281.9526,0.47154958266706676,12.8891,0.4439,41.1820182800293,1,1,DF 07 03 08 16 41 02 C2 39 4E 41 5A 43 E3 3E 01 00 00 00 63 BA 24 42 95 96 E3 3E 9E
281.9970,0.4978654043322119,12.8867,0.4648,41.13945388793945,1,1,DF 07 03 08 16 41 02 EA 2F 4E 41 3C FB ED 3E 01 00 00 00 CD 8E 24 42 14 6F F1 3E 38
282.0874,0.5241795143329849,12.8867,0.4713,41.13945388793945,1,1,DF 07 03 08 16 41 02 16 30 4E 41 6C 51 F1 3E 01 00 00 00 CD 8E 24 42 59 E8 FE 3E B6
282.1999,0.5504196276707808,12.8826,0.5083,41.094112396240234,1,1,DF 07 03 08 16 41 02 F0 1E 4E 41 24 1E 02 3F 01 00 00 00 5F 60 24 42 B2 30 06 3F 49
282.3777,0.603185992333262,12.8805,0.5501,41.094112396240234,1,1,DF 07 03 08 16 41 02 78 16 4E 41 D1 D0 0C 3F 01 00 00 00 5F 60 24 42 5E E8 0C 3F F6
282.4020,0.603185992333262,12.8784,0.5517,41.056617736816406,1,1,DF 07 03 08 16 41 02 FE 0D 4E 41 7B 3F 0D 3F 01 00 00 00 FA 39 24 42 FA AF 13 3F 81
282.5373,0.6296519403406032,12.8760,0.6027,41.056617736816406,1,1,DF 07 03 08 16 41 02 4A 04 4E 41 6D 4D 1A 3F 02 00 00 00 FA 39 24 42 77 6A 1A 3F F1
282.5819,0.6561289483401925,12.8748,0.6029,41.056617736816406,1,1,DF 07 03 08 16 41 02 40 FF 4D 41 E4 55 1A 3F 02 00 00 00 FA 39 24 42 F0 30 21 3F 3C
282.7395,0.6822423983458431,12.8725,0.6552,41.01991653442383,1,1,DF 07 03 08 16 41 02 BE F5 4D 41 B0 BD 27 3F 02 00 00 00 65 14 24 42 22 F8 27 3F 41
282.7846,0.7084227350063157,12.8713,0.6558,41.01991653442383,1,1,DF 07 03 08 16 41 02 B6 F0 4D 41 1D E0 27 3F 02 00 00 00 65 14 24 42 81 A7 2E 3F A9
282.9640,0.7610484270039404,12.8674,0.7083,40.98506546020508,1,1,DF 07 03 08 16 41 02 CC E0 4D 41 60 50 35 3F 02 00 00 00 B5 F0 23 42 42 5B 35 3F 3B
282.9878,0.7610484270039404,12.8674,0.7082,40.9437370300293,1,1,DF 07 03 08 16 41 02 CC E0 4D 41 E8 4C 35 3F 02 00 00 00 63 C6 23 42 12 1E 3C 3F 99
